X,Y,G
106.0083,-5.9973,72.50
106.0250,-5.9973,74.80
106.0417,-5.9973,76.00
106.0583,-5.9973,76.10
106.0750,-5.9973,75.90
106.0917,-5.9973,75.70
106.1083,-5.9973,75.40
106.1250,-5.9973,74.10
106.1417,-5.9973,70.30
106.1583,-5.9973,64.30
106.1750,-5.9973,60.20
106.1917,-5.9973,61.40
106.2083,-5.9973,66.50
106.2250,-5.9973,71.90
106.2417,-5.9973,75.30
106.2583,-5.9973,76.20
106.2750,-5.9973,75.20
106.2917,-5.9973,73.70
106.3083,-5.9973,72.20
106.3250,-5.9973,70.90
106.3417,-5.9973,70.20
106.3583,-5.9973,70.20
106.3750,-5.9973,70.90
106.3917,-5.9973,71.80
106.4083,-5.9973,71.40
106.4250,-5.9973,68.10
106.4417,-5.9973,61.50
106.4583,-5.9973,53.20
106.4750,-5.9973,48.10
106.4917,-5.9973,49.50
106.5083,-5.9973,55.50
106.5250,-5.9973,62.80
106.5417,-5.9973,68.90
106.5583,-5.9973,71.20
106.5750,-5.9973,64.80
106.5917,-5.9973,50.00
106.6083,-5.9973,37.40
106.6250,-5.9973,36.10
106.6417,-5.9973,42.20
106.6583,-5.9973,47.90
106.6750,-5.9973,51.30
106.6917,-5.9973,53.90
106.7083,-5.9973,56.40
106.7250,-5.9973,58.40
106.7417,-5.9973,59.80
106.7583,-5.9973,60.80
106.7750,-5.9973,61.60
106.7917,-5.9973,62.20
106.8083,-5.9973,62.10
106.8250,-5.9973,61.30
106.8417,-5.9973,60.40
106.8583,-5.9973,59.80
106.8750,-5.9973,58.50
106.8917,-5.9973,55.90
106.9083,-5.9973,53.40
106.9250,-5.9973,52.00
106.9417,-5.9973,50.50
106.9583,-5.9973,47.60
106.9750,-5.9973,43.70
106.9917,-5.9973,40.70
107.0083,-5.9973,39.00
106.0083,-6.0138,75.90
106.0250,-6.0138,76.90
106.0417,-6.0138,76.90
106.0583,-6.0138,76.20
106.0750,-6.0138,75.00
106.0917,-6.0138,73.90
106.1083,-6.0138,73.10
106.1250,-6.0138,71.90
106.1417,-6.0138,68.90
106.1583,-6.0138,64.60
106.1750,-6.0138,61.90
106.1917,-6.0138,63.30
106.2083,-6.0138,67.40
106.2250,-6.0138,71.10
106.2417,-6.0138,73.10
106.2583,-6.0138,73.40
106.2750,-6.0138,72.80
106.2917,-6.0138,72.10
106.3083,-6.0138,71.40
106.3250,-6.0138,70.80
106.3417,-6.0138,70.60
106.3583,-6.0138,70.90
106.3750,-6.0138,71.70
106.3917,-6.0138,72.70
106.4083,-6.0138,72.50
106.4250,-6.0138,69.80
106.4417,-6.0138,64.30
106.4583,-6.0138,57.70
106.4750,-6.0138,53.30
106.4917,-6.0138,53.60
106.5083,-6.0138,57.40
106.5250,-6.0138,62.40
106.5417,-6.0138,67.00
106.5583,-6.0138,68.80
106.5750,-6.0138,64.60
106.5917,-6.0138,54.60
106.6083,-6.0138,45.50
106.6250,-6.0138,43.00
106.6417,-6.0138,45.30
106.6583,-6.0138,47.90
106.6750,-6.0138,49.70
106.6917,-6.0138,52.10
106.7083,-6.0138,55.30
106.7250,-6.0138,58.80
106.7417,-6.0138,61.90
106.7583,-6.0138,64.30
106.7750,-6.0138,65.30
106.7917,-6.0138,64.80
106.8083,-6.0138,63.60
106.8250,-6.0138,62.60
106.8417,-6.0138,62.10
106.8583,-6.0138,61.60
106.8750,-6.0138,59.80
106.8917,-6.0138,56.50
106.9083,-6.0138,53.70
106.9250,-6.0138,52.20
106.9417,-6.0138,49.40
106.9583,-6.0138,43.40
106.9750,-6.0138,37.10
106.9917,-6.0138,35.00
107.0083,-6.0138,36.00
106.0083,-6.0304,80.30
106.0250,-6.0304,80.10
106.0417,-6.0304,79.00
106.0583,-6.0304,77.20
106.0750,-6.0304,75.10
106.0917,-6.0304,73.10
106.1083,-6.0304,71.60
106.1250,-6.0304,70.30
106.1417,-6.0304,68.40
106.1583,-6.0304,66.00
106.1750,-6.0304,64.80
106.1917,-6.0304,66.20
106.2083,-6.0304,68.80
106.2250,-6.0304,70.70
106.2417,-6.0304,71.30
106.2583,-6.0304,71.20
106.2750,-6.0304,70.90
106.2917,-6.0304,70.60
106.3083,-6.0304,70.50
106.3250,-6.0304,70.50
106.3417,-6.0304,70.70
106.3583,-6.0304,71.30
106.3750,-6.0304,72.20
106.3917,-6.0304,73.20
106.4083,-6.0304,73.40
106.4250,-6.0304,71.50
106.4417,-6.0304,67.70
106.4583,-6.0304,63.00
106.4750,-6.0304,59.40
106.4917,-6.0304,58.20
106.5083,-6.0304,59.10
106.5250,-6.0304,60.80
106.5417,-6.0304,62.60
106.5583,-6.0304,63.30
106.5750,-6.0304,61.10
106.5917,-6.0304,56.30
106.6083,-6.0304,51.60
106.6250,-6.0304,49.30
106.6417,-6.0304,48.90
106.6583,-6.0304,48.60
106.6750,-6.0304,48.80
106.6917,-6.0304,50.70
106.7083,-6.0304,54.50
106.7250,-6.0304,59.40
106.7417,-6.0304,64.50
106.7583,-6.0304,68.40
106.7750,-6.0304,69.60
106.7917,-6.0304,67.80
106.8083,-6.0304,65.30
106.8250,-6.0304,64.30
106.8417,-6.0304,64.80
106.8583,-6.0304,64.80
106.8750,-6.0304,63.00
106.8917,-6.0304,59.50
106.9083,-6.0304,56.10
106.9250,-6.0304,53.70
106.9417,-6.0304,49.60
106.9583,-6.0304,41.50
106.9750,-6.0304,34.20
106.9917,-6.0304,32.90
107.0083,-6.0304,35.70
106.0083,-6.0470,85.00
106.0250,-6.0470,83.70
106.0417,-6.0470,81.70
106.0583,-6.0470,79.00
106.0750,-6.0470,76.00
106.0917,-6.0470,73.30
106.1083,-6.0470,71.20
106.1250,-6.0470,69.70
106.1417,-6.0470,68.40
106.1583,-6.0470,67.20
106.1750,-6.0470,66.90
106.1917,-6.0470,67.80
106.2083,-6.0470,69.10
106.2250,-6.0470,69.80
106.2417,-6.0470,69.80
106.2583,-6.0470,69.60
106.2750,-6.0470,69.40
106.2917,-6.0470,69.50
106.3083,-6.0470,69.70
106.3250,-6.0470,70.10
106.3417,-6.0470,70.70
106.3583,-6.0470,71.40
106.3750,-6.0470,72.40
106.3917,-6.0470,73.30
106.4083,-6.0470,73.60
106.4250,-6.0470,72.60
106.4417,-6.0470,70.20
106.4583,-6.0470,67.00
106.4750,-6.0470,64.10
106.4917,-6.0470,61.80
106.5083,-6.0470,60.30
106.5250,-6.0470,59.20
106.5417,-6.0470,58.50
106.5583,-6.0470,57.80
106.5750,-6.0470,56.50
106.5917,-6.0470,54.50
106.6083,-6.0470,52.50
106.6250,-6.0470,51.10
106.6417,-6.0470,50.00
106.6583,-6.0470,48.70
106.6750,-6.0470,48.10
106.6917,-6.0470,49.70
106.7083,-6.0470,53.70
106.7250,-6.0470,59.60
106.7417,-6.0470,66.30
106.7583,-6.0470,71.80
106.7750,-6.0470,73.30
106.7917,-6.0470,70.00
106.8083,-6.0470,66.10
106.8250,-6.0470,65.80
106.8417,-6.0470,67.90
106.8583,-6.0470,69.10
106.8750,-6.0470,68.10
106.8917,-6.0470,65.20
106.9083,-6.0470,61.50
106.9250,-6.0470,57.30
106.9417,-6.0470,51.40
106.9583,-6.0470,43.50
106.9750,-6.0470,37.20
106.9917,-6.0470,36.30
107.0083,-6.0470,38.80
106.0083,-6.0636,89.10
106.0250,-6.0636,87.10
106.0417,-6.0636,84.30
106.0583,-6.0636,80.90
106.0750,-6.0636,77.40
106.0917,-6.0636,74.20
106.1083,-6.0636,71.60
106.1250,-6.0636,69.70
106.1417,-6.0636,68.50
106.1583,-6.0636,67.70
106.1750,-6.0636,67.60
106.1917,-6.0636,67.90
106.2083,-6.0636,68.30
106.2250,-6.0636,68.50
106.2417,-6.0636,68.40
106.2583,-6.0636,68.30
106.2750,-6.0636,68.30
106.2917,-6.0636,68.60
106.3083,-6.0636,69.10
106.3250,-6.0636,69.70
106.3417,-6.0636,70.50
106.3583,-6.0636,71.30
106.3750,-6.0636,72.10
106.3917,-6.0636,72.80
106.4083,-6.0636,73.00
106.4250,-6.0636,72.40
106.4417,-6.0636,70.90
106.4583,-6.0636,68.70
106.4750,-6.0636,66.20
